Parameter,Value,Unit,Source_Citation
Destination_ID,63f2bf98-e89f-48de-80b5-209a6b96db6f,uuid,https://cda.ve.it/en/faq [web search - 2026-06-05]
Research_Date,2026-06-05,date,https://cda.ve.it/en/faq [web search - 2026-06-05]
EUR_USD_Rate,1.162,USD per EUR (2026-06-04),https://moneyswapp.com/exchange-rates/eurusd/ [web search - 2026-06-05]; https://wise.com/us/currency-converter/eur-to-usd-rate/history [web search - 2026-06-05]
Capacity_Sustainable_Daily,52111,visitors/day (Bertocchi-Camatti TCC),https://venezia.photography/venice-overtourism-analysis-2025/ [web search - 2026-06-05]; https://www.mdpi.com/2071-1050/12/2/512 [web search - 2026-06-05]
Capacity_Component_Hotel,15500,guests/day,https://venezia.photography/venice-overtourism-analysis-2025/ [web search - 2026-06-05]
Capacity_Component_Other_Accom,22000,guests/day,https://venezia.photography/venice-overtourism-analysis-2025/ [web search - 2026-06-05]
Capacity_Component_Excursionist,14611,day-trippers/day,https://venezia.photography/venice-overtourism-analysis-2025/ [web search - 2026-06-05]
Capacity_Transformative_Band,50000-60000,visitors/day policy cap,https://www.researchgate.net/publication/384181632_Popularity_Paradox_in_Venice_Italy_A_Battle_of_Priorities [web search - 2026-06-05]
Capacity_Maximum_Band,90000-100000,visitors/day policy ceiling,https://www.researchgate.net/publication/384181632_Popularity_Paradox_in_Venice_Italy_A_Battle_of_Priorities [web search - 2026-06-05]
San_Marco_Annual_Visitors,5000000,visitors/yr,https://roadgenius.com/statistics/tourism/italy/venice/ [web search - 2026-06-05]
San_Marco_Daily_Capacity,22000 [LITERATURE DEFAULT - no official confirmation],visitors/day,https://www.researchgate.net/publication/384181632_Popularity_Paradox_in_Venice_Italy_A_Battle_of_Priorities [web search - 2026-06-05]
Arrivals_2019,5520000,overnight arrivals,https://roadgenius.com/statistics/tourism/italy/venice/ [web search - 2026-06-05]
Arrivals_2020,1340000,overnight arrivals,https://roadgenius.com/statistics/tourism/italy/venice/ [web search - 2026-06-05]
Arrivals_2021,2120000,overnight arrivals,https://roadgenius.com/statistics/tourism/italy/venice/ [web search - 2026-06-05]
Arrivals_2022,4650000,overnight arrivals,https://roadgenius.com/statistics/tourism/italy/venice/ [web search - 2026-06-05]
Arrivals_2023,5660000,overnight arrivals,https://roadgenius.com/statistics/tourism/italy/venice/ [web search - 2026-06-05]
Arrivals_2024,5880000,overnight arrivals,https://roadgenius.com/statistics/tourism/italy/venice/ [web search - 2026-06-05]
Overnight_Stays_2024,13300000,bed-nights,https://hotelagio.com/venice-tourism-statistics/ [web search - 2026-06-05]
Avg_Stay_Historic_Centre,2.4,nights,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
Total_Annual_Visitors_Est_2024,30600000,incl day-trippers (est),https://www.ainvest.com/news/venice-tourism-time-bomb-city-fragile-economy-faces-collapse-2506/ [web search - 2026-06-05]; https://www.aol.com/news/venice-daytripper-entry-fee-much-201913808.html [web search - 2026-06-05]
Overnight_Present_Avg_2024,36438,present/night avg,https://hotelagio.com/venice-tourism-statistics/ [web search - 2026-06-05]
Daytripper_Avg_2024,33000,day-trippers/day avg anchor,https://hotelagio.com/venice-tourism-statistics/ [web search - 2026-06-05]
Resident_Population_2024,48489 [actual],centro storico residents,https://www.wantedinrome.com/news/venice-population-city-centre-continues-to-drop.html [web search - 2026-06-05]
Resident_Population_2025,47625 [actual],centro storico residents,https://www.wantedinrome.com/news/venice-population-city-centre-continues-to-drop.html [web search - 2026-06-05]
Resident_Population_2026,47100 [DERIVED projection],centro storico residents,https://www.wantedinrome.com/news/venice-population-city-centre-continues-to-drop.html [web search - 2026-06-05]
Resident_Population_2027,46600 [DERIVED projection],centro storico residents,https://www.wantedinrome.com/news/venice-population-city-centre-continues-to-drop.html [web search - 2026-06-05]
Resident_Population_2028,46100 [DERIVED projection],centro storico residents,https://www.wantedinrome.com/news/venice-population-city-centre-continues-to-drop.html [web search - 2026-06-05]
Fee_2024_Tier,"EUR5 single (29 days, no advance/last-min split)",EUR,https://www.afar.com/magazine/venice-to-implement-tourist-entry-fee-in-2024-what-to-know [web search - 2026-06-05]; https://www.yahoo.com/news/venice-doubles-daytripper-entry-fees-181350666.html [web search - 2026-06-05]
Fee_2025_2026_Advance,5.0,EUR (>=4 days advance),https://cda.ve.it/en/faq [web search - 2026-06-05]; https://www.yahoo.com/news/venice-doubles-daytripper-entry-fees-181350666.html [web search - 2026-06-05]
Fee_2025_2026_LastMinute,10.0,EUR (<4 days),https://cda.ve.it/en/faq [web search - 2026-06-05]; https://www.yahoo.com/news/venice-doubles-daytripper-entry-fees-181350666.html [web search - 2026-06-05]
Fee_Days_2024,29,days,https://www.afar.com/magazine/venice-to-implement-tourist-entry-fee-in-2024-what-to-know [web search - 2026-06-05]
Fee_Days_2025,54,days,https://community.ricksteves.com/travel-forum/italy/venice-access-fee-5a972c16-f001-41fb-be49-83675660920f [web search - 2026-06-05]
Fee_Days_2026,60,days (OFFICIAL CDA),https://cda.ve.it/en/faq [web search - 2026-06-05]
Fee_Paid_2024,485062,paid day-trippers,https://www.euronews.com/travel/2025/09/08/venices-daytripper-fee-raised-5-million-in-2025-but-did-it-curb-overtourism [web search - 2026-06-05]
Fee_Revenue_2024_EUR,2400000,EUR,https://www.euronews.com/travel/2025/09/08/venices-daytripper-fee-raised-5-million-in-2025-but-did-it-curb-overtourism [web search - 2026-06-05]
Fee_Paid_2025,720000,paid day-trippers,https://www.euronews.com/travel/2025/09/08/venices-daytripper-fee-raised-5-million-in-2025-but-did-it-curb-overtourism [web search - 2026-06-05]
Fee_Revenue_2025_EUR,5400000,EUR,https://www.euronews.com/travel/2025/09/08/venices-daytripper-fee-raised-5-million-in-2025-but-did-it-curb-overtourism [web search - 2026-06-05]
Fee_Daily_Avg_Paid_2024,16676,paid/fee-day,https://www.euronews.com/travel/2025/09/08/venices-daytripper-fee-raised-5-million-in-2025-but-did-it-curb-overtourism [web search - 2026-06-05]
Fee_Daily_Avg_Paid_2025,13046,paid/fee-day,https://www.euronews.com/travel/2025/09/08/venices-daytripper-fee-raised-5-million-in-2025-but-did-it-curb-overtourism [web search - 2026-06-05]
Fee_Peak_Day_2025,24951 (Fri 2 May 2025),paid,https://www.euronews.com/travel/2025/09/08/venices-daytripper-fee-raised-5-million-in-2025-but-did-it-curb-overtourism [web search - 2026-06-05]
Fee_2026_Confirmed,"YES - 60 dates officially set Apr3-Jul26, 08:30-16:00",status,https://cda.ve.it/en/faq [web search - 2026-06-05]; https://www.travelandtourworld.com/news/article/venice-to-expand-day-visitor-fee-what-travellers-should-know/ [web search - 2026-06-05]
Fee_Hours,08:30-16:00,daily window,https://cda.ve.it/en/faq [web search - 2026-06-05]
Growth_Overnight_Annual,0.025,fraction/yr (projection),https://roadgenius.com/statistics/tourism/italy/venice/ [web search - 2026-06-05]; https://www.euronews.com/travel/2025/09/08/venices-daytripper-fee-raised-5-million-in-2025-but-did-it-curb-overtourism [web search - 2026-06-05]
Growth_DayTripper_Annual,0.01,fraction/yr (projection),https://roadgenius.com/statistics/tourism/italy/venice/ [web search - 2026-06-05]; https://www.euronews.com/travel/2025/09/08/venices-daytripper-fee-raised-5-million-in-2025-but-did-it-curb-overtourism [web search - 2026-06-05]
Growth_2023_2024_Arrivals,0.04,fraction (actual),https://roadgenius.com/statistics/tourism/italy/venice/ [web search - 2026-06-05]
Fee_Demand_Elasticity_Note,"Access fee shows weak demand elasticity: paid day-tripper daily avg fell 16,676 (2024) to 13,046 (2025) but city council attributes this to region-wide tourism decline, not fee deterrence; 2024 trial period saw daily numbers rise ~7,000. Day-tripper growth dampened modestly to +1.0%/yr.",qualitative,https://www.euronews.com/travel/2025/09/08/venices-daytripper-fee-raised-5-million-in-2025-but-did-it-curb-overtourism [web search - 2026-06-05]; https://www.ainvest.com/news/venice-tourism-time-bomb-city-fragile-economy-faces-collapse-2506/ [web search - 2026-06-05]
Seasonal_Index_January,0.55,multiplier (mean~1.0),https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]; https://www.tourism-review.com/venice-tourism-focuses-more-on-sustainable-measures-news14975 [web search - 2026-06-05]
Seasonal_Index_February,0.7,multiplier (mean~1.0),https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]; https://www.tourism-review.com/venice-tourism-focuses-more-on-sustainable-measures-news14975 [web search - 2026-06-05]
Seasonal_Index_March,0.85,multiplier (mean~1.0),https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]; https://www.tourism-review.com/venice-tourism-focuses-more-on-sustainable-measures-news14975 [web search - 2026-06-05]
Seasonal_Index_April,1.1,multiplier (mean~1.0),https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]; https://www.tourism-review.com/venice-tourism-focuses-more-on-sustainable-measures-news14975 [web search - 2026-06-05]
Seasonal_Index_May,1.3,multiplier (mean~1.0),https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]; https://www.tourism-review.com/venice-tourism-focuses-more-on-sustainable-measures-news14975 [web search - 2026-06-05]
Seasonal_Index_June,1.25,multiplier (mean~1.0),https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]; https://www.tourism-review.com/venice-tourism-focuses-more-on-sustainable-measures-news14975 [web search - 2026-06-05]
Seasonal_Index_July,1.35,multiplier (mean~1.0),https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]; https://www.tourism-review.com/venice-tourism-focuses-more-on-sustainable-measures-news14975 [web search - 2026-06-05]
Seasonal_Index_August,1.2,multiplier (mean~1.0),https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]; https://www.tourism-review.com/venice-tourism-focuses-more-on-sustainable-measures-news14975 [web search - 2026-06-05]
Seasonal_Index_September,1.25,multiplier (mean~1.0),https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]; https://www.tourism-review.com/venice-tourism-focuses-more-on-sustainable-measures-news14975 [web search - 2026-06-05]
Seasonal_Index_October,1.05,multiplier (mean~1.0),https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]; https://www.tourism-review.com/venice-tourism-focuses-more-on-sustainable-measures-news14975 [web search - 2026-06-05]
Seasonal_Index_November,0.85,multiplier (mean~1.0),https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]; https://www.tourism-review.com/venice-tourism-focuses-more-on-sustainable-measures-news14975 [web search - 2026-06-05]
Seasonal_Index_December,0.75,multiplier (mean~1.0),https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]; https://www.tourism-review.com/venice-tourism-focuses-more-on-sustainable-measures-news14975 [web search - 2026-06-05]
DOW_Index_Monday,0.92,multiplier,https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]
DOW_Index_Tuesday,0.9,multiplier,https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]
DOW_Index_Wednesday,0.92,multiplier,https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]
DOW_Index_Thursday,0.98,multiplier,https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]
DOW_Index_Friday,1.1,multiplier,https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]
DOW_Index_Saturday,1.2,multiplier,https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]
DOW_Index_Sunday,1.06,multiplier,https://www.dreambigtravelfarblog.com/blog/venice-travel-tourism-statistics [web search - 2026-06-05]
DataQuality_2024_actual,78,score 0-100,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
Confidence_2024_actual,80,score 0-100,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
CI_Width_2024_actual,+/-8,percent,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
DataQuality_2025_actual,80,score 0-100,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
Confidence_2025_actual,82,score 0-100,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
CI_Width_2025_actual,+/-8,percent,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
DataQuality_2026_actual,72,score 0-100,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
Confidence_2026_actual,74,score 0-100,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
CI_Width_2026_actual,+/-12,percent,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
DataQuality_2026_projected,62,score 0-100,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
Confidence_2026_projected,60,score 0-100,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
CI_Width_2026_projected,+/-20,percent,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
DataQuality_2027_projected,55,score 0-100,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
Confidence_2027_projected,50,score 0-100,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
CI_Width_2027_projected,+/-30,percent,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
DataQuality_2028_projected,50,score 0-100,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
Confidence_2028_projected,42,score 0-100,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
CI_Width_2028_projected,+/-42,percent,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
CPI_Formula,100 * Daily_Visitors_Total / Capacity_Sustainable_Daily,index,https://venezia.photography/venice-overtourism-analysis-2025/ [web search - 2026-06-05]
Capacity_Breach_Threshold,52111,daily total above = breach,https://venezia.photography/venice-overtourism-analysis-2025/ [web search - 2026-06-05]
Actuals_Cutoff,2026-06-05,date (P3 actual/derived boundary),https://cda.ve.it/en/faq [web search - 2026-06-05]
Daily_Granularity_Method,Annual/monthly official totals disaggregated by seasonal x DOW index (no official daily feed),method,https://www.comune.venezia.it/sites/comune.venezia.it/files/documenti/Turismo/Annuario_2024_ENG.pdf [web search - 2026-06-05]
